demo_apn,demo_address,neighbor_handle,distance_ft,SITEADDR,ZIP,NUMBLDGS,NUMUNITS,LANDUSE1,VACANTLAND,ASMTIMPROV,LANDUSE_DESC,exclusion_reason,review_flag,near_demo_sites
37179530000,4565 Saint Ferdinand Avenue,13718000700,412.2,4607 NORTH MARKET ST,63113,0,0,1010,N,0,Code 1010 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1825 Cora Avenue; 4565 Saint Ferdinand Avenue; 4615 Saint Ferdinand Avenue; 4649 N Market Street
37179530000,4565 Saint Ferdinand Avenue,13718000010,467.3,4616 ST FERDINAND AV,63113,0,0,1010,Y,1760,Code 1010 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1825 Cora Avenue; 4565 Saint Ferdinand Avenue; 4615 Saint Ferdinand Avenue; 4649 N Market Street
37179530000,4565 Saint Ferdinand Avenue,13717000345,477.0,2503-5 N TAYLOR AV,63113,0,0,5410,N,0,Code 5410 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4565 Saint Ferdinand Avenue
37179530000,4565 Saint Ferdinand Avenue,13717000320,486.3,2525-7 N TAYLOR AV,63113,0,0,6800,Y,1300,School / educational,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4565 Saint Ferdinand Avenue
37179680000,4615 Saint Ferdinand Avenue,14471000250,320.1,4653 ST FERDINAND AV,63113,0,0,1120,Y,190,Two-family (duplex/flat),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4615 Saint Ferdinand Avenue; 4649 N Market Street
37179680000,4615 Saint Ferdinand Avenue,14471000270,353.1,4657 ST FERDINAND AV,63113,0,0,1120,Y,910,Two-family (duplex/flat),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4615 Saint Ferdinand Avenue; 4649 N Market Street
37179680000,4615 Saint Ferdinand Avenue,14470000310,439.6,4659 COTTAGE AV,63113,0,0,1110,Y,2850,Single-family residence,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4615 Saint Ferdinand Avenue
37179680000,4615 Saint Ferdinand Avenue,14471000330,443.2,2526-8 MARCUS AV,63113,0,0,5920,N,0,Code 5920 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4615 Saint Ferdinand Avenue; 4649 N Market Street
37629140000,912 Bayard Avenue,13763050200,126.6,900 N EUCLID AV,63108,0,0,5000,Y,500,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,912 Bayard Avenue
37629140000,912 Bayard Avenue,13762050530,190.3,923 WALTON AV,63108,0,0,5000,N,2600,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,912 Bayard Avenue
37629140000,912 Bayard Avenue,13766000010,253.1,1100 AUBERT AV,63113,0,0,5000,Y,2300,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,912 Bayard Avenue
37629140000,912 Bayard Avenue,13763050190,291.9,794-6 N EUCLID AV,63108,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,912 Bayard Avenue
37629140000,912 Bayard Avenue,13763050160,391.0,780-2 N EUCLID AV,63108,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,912 Bayard Avenue
37629140000,912 Bayard Avenue,13762058740,429.6,759-81 WALTON AV,63108,0,0,1115,N,33200,Code 1115 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,912 Bayard Avenue
37629140000,912 Bayard Avenue,13771000600,481.6,1115-21 WALTON AV,63113,0,0,5000,N,1400,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1151 Walton Avenue; 912 Bayard Avenue
37689050000,4926 Page Boulevard,13768030180,184.3,4900-4 PAGE BLVD,63113,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1336 N Euclid Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13787000110,345.5,4963 PAGE BLVD,63113,0,0,5000,N,200,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4926 Page Boulevard
37689050000,4926 Page Boulevard,13785000385,347.6,4871-9 PAGE BLVD,63113,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1336 N Euclid Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13787000120,352.2,4965 PAGE BLVD,63113,0,0,5000,N,900,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4926 Page Boulevard
37689050000,4926 Page Boulevard,13787000140,380.1,1310 N KINGSHIGHWAY BLVD,63113,0,0,5000,Y,4900,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4926 Page Boulevard
37689050000,4926 Page Boulevard,13770000140,392.8,1238 N EUCLID AV,63113,0,0,1120,Y,3960,Two-family (duplex/flat),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1219 Bayard Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13770000125,428.9,1230 N EUCLID AV,63113,0,0,1120,Y,4390,Two-family (duplex/flat),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1219 Bayard Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13770000230,443.0,4868-70 PAGE BLVD,63113,0,0,6911,N,0,Church / religious,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1219 Bayard Avenue; 1336 N Euclid Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13770000240,473.0,4864 PAGE BLVD,63113,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,1219 Bayard Avenue; 1336 N Euclid Avenue; 4926 Page Boulevard
