neighbor_handle,SITEADDR,ZIP,NUMBLDGS,NUMUNITS,LANDUSE1,VACANTLAND,ASMTIMPROV,LANDUSE_DESC,suggested_hangers,near_demo_sites,notifications_needed
13546000080,4520 ALICE AV,63115,1,1,1110,N,1960,Single-family residence,1,4016 Carter Avenue,1
13546000090,4522 ALICE AV,63115,1,1,1110,N,1740,Single-family residence,1,4016 Carter Avenue,1
13546000100,4526 ALICE AV,63115,1,1,1110,N,2550,Single-family residence,1,4016 Carter Avenue,1
13546000110,4530 ALICE AV,63115,1,1,1110,N,1300,Single-family residence,1,4016 Carter Avenue,1
13546000120,4532 ALICE AV,63115,1,1,1110,N,3430,Single-family residence,1,4016 Carter Avenue,1
13546000130,4534 ALICE AV,63115,1,1,1110,N,4120,Single-family residence,1,4016 Carter Avenue,1
13546000140,4538-40 ALICE AV,63115,1,4,1140,N,2670,Four-family / small multi-family,4,4016 Carter Avenue,1
13546000150,4542 ALICE AV,63115,1,2,1120,N,3540,Two-family (duplex/flat),2,4016 Carter Avenue,1
13546000160,4546 ALICE AV,63115,1,2,1120,N,3470,Two-family (duplex/flat),2,4016 Carter Avenue,1
14463000200,4408 ASHLAND AV,63115,1,4,1140,N,3850,Four-family / small multi-family,4,4461 Elmbank Avenue,1
14463000190,4414 ASHLAND AV,63115,1,2,1120,N,1380,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447030220,4415 ASHLAND AV,63115,1,1,1110,N,810,Single-family residence,1,4461 Elmbank Avenue,1
14463000180,4416 ASHLAND AV,63115,1,2,1120,N,550,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14463000170,4418 ASHLAND AV,63115,1,2,1120,N,1050,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447030240,4421 ASHLAND AV,63115,1,1,1110,N,290,Single-family residence,1,4461 Elmbank Avenue,1
14463000140,4424 ASHLAND AV,63115,1,2,1120,N,1350,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447040170,4431 ASHLAND AV,63115,1,2,1120,N,2170,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14463000120,4432 ASHLAND AV,63115,1,1,1110,N,2030,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14463000110,4434 ASHLAND AV,63115,1,1,1110,N,1290,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447040180,4435 ASHLAND AV,63115,1,1,1110,N,1680,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447040190,4439 ASHLAND AV,63115,1,1,1110,N,1230,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14463000100,4440 ASHLAND AV,63115,1,1,1110,N,1630,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447040200,4441 ASHLAND AV,63115,1,2,1120,N,290,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447040210,4445 ASHLAND AV,63115,1,2,1120,N,2190,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14463000090,4446 ASHLAND AV,63115,1,4,1140,N,2450,Four-family / small multi-family,4,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14463000080,4448-50 ASHLAND AV,63115,1,4,1140,N,3010,Four-family / small multi-family,4,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447040220,4449-51 ASHLAND AV,63115,1,2,1120,N,1460,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14463000070,4452-4 ASHLAND AV,63115,1,4,1140,N,2980,Four-family / small multi-family,4,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447040230,4453 ASHLAND AV,63115,1,2,1120,N,1500,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447040240,4455 ASHLAND AV,63115,1,1,1110,N,2520,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14463000050,4456-8 ASHLAND AV,63115,1,4,1140,N,2340,Four-family / small multi-family,4,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14463000040,4460 ASHLAND AV,63115,1,1,1110,N,580,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447040250,4461 ASHLAND AV,63115,1,1,1110,N,1180,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14463000030,4462 ASHLAND AV,63115,1,1,1110,N,1700,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447040260,4463 ASHLAND AV,63115,1,1,1110,N,1280,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14463000020,4466 ASHLAND AV,63115,1,2,1120,N,850,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14447040280,4475 ASHLAND AV,63115,1,1,1110,N,2300,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue; 4519 Lexington Avenue; 4528 Ashland Avenue,4
14447040290,4479 ASHLAND AV,63115,1,1,1110,N,1320,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue; 4519 Lexington Avenue; 4528 Ashland Avenue,4
14447040300,4483 ASHLAND AV,63115,1,1,1110,N,1480,Single-family residence,1,4458 Elmbank Avenue; 4461 Elmbank Avenue; 4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,5
14462050260,4512 ASHLAND AV,63115,1,1,1110,N,290,Single-family residence,1,4461 Elmbank Avenue; 4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,4
14462050250,4516 ASHLAND AV,63115,1,1,1110,N,4110,Single-family residence,1,4461 Elmbank Avenue; 4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,4
14462050240,4520 ASHLAND AV,63115,1,1,1110,N,1370,Single-family residence,1,4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,3
14448060310,4523 ASHLAND AV,63115,1,2,1120,N,3650,Two-family (duplex/flat),2,4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,3
14462050230,4524 ASHLAND AV,63115,1,1,1110,N,1280,Single-family residence,1,4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,3
14462050220,4528 ASHLAND AV,63115,1,1,1110,N,2340,Single-family residence,1,4519 Lexington Avenue; 4541 Ashland Avenue,2
14462050210,4530 ASHLAND AV,63115,1,1,1110,N,2400,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14448060320,4531 ASHLAND AV,63115,1,2,1120,N,2260,Two-family (duplex/flat),2,4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,3
14448060330,4533 ASHLAND AV,63115,1,2,1120,N,1060,Two-family (duplex/flat),2,4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,3
14462050200,4534 ASHLAND AV,63115,1,1,1110,N,0,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14448060350,4541 ASHLAND AV,63115,1,1,1110,N,2980,Single-family residence,1,4519 Lexington Avenue; 4528 Ashland Avenue,2
14448060360,4543 ASHLAND AV,63115,1,2,1120,N,4170,Two-family (duplex/flat),2,4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,3
14448060370,4545 ASHLAND AV,63115,1,2,1120,N,2480,Two-family (duplex/flat),2,4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,3
14462050160,4546 ASHLAND AV,63115,1,1,1110,N,4910,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14448060380,4549 ASHLAND AV,63115,1,2,1120,N,2220,Two-family (duplex/flat),2,4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,3
14462050150,4550 ASHLAND AV,63115,1,1,1110,N,4320,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14448060390,4553 ASHLAND AV,63115,1,2,1120,N,2360,Two-family (duplex/flat),2,4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,3
14462050140,4554 ASHLAND AV,63115,1,1,1110,N,4320,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14448060400,4555 ASHLAND AV,63115,1,1,1120,N,2720,Two-family (duplex/flat),1,4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,3
14462050130,4558 ASHLAND AV,63115,1,1,1110,N,4900,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14448060410,4559 ASHLAND AV,63115,1,2,1120,N,2260,Two-family (duplex/flat),2,4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,3
14448060420,4561 ASHLAND AV,63115,1,2,1120,N,1170,Two-family (duplex/flat),2,4519 Lexington Avenue; 4528 Ashland Avenue; 4541 Ashland Avenue,3
14462050120,4562 ASHLAND AV,63115,1,1,1110,N,5120,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14462050110,4600-2 ASHLAND AV,63115,1,4,1140,N,3550,Four-family / small multi-family,4,4528 Ashland Avenue; 4541 Ashland Avenue,2
14449010090,4601 ASHLAND AV,63115,1,1,1110,N,1530,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14449010100,4603 ASHLAND AV,63115,1,1,1110,N,1580,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14462050100,4604 ASHLAND AV,63115,1,2,1120,N,1700,Two-family (duplex/flat),2,4528 Ashland Avenue; 4541 Ashland Avenue,2
14449010110,4607 ASHLAND AV,63115,1,1,1110,N,3450,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14462050090,4608 ASHLAND AV,63115,1,1,1110,N,2030,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14449010120,4609 ASHLAND AV,63115,1,1,1110,N,2220,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14449010130,4611 ASHLAND AV,63115,1,1,1110,N,2300,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14462050080,4612 ASHLAND AV,63115,1,1,1110,N,1150,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14462050070,4614 ASHLAND AV,63115,1,1,1110,N,3420,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14449010140,4615 ASHLAND AV,63115,1,1,1110,N,1890,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
14462050060,4616 ASHLAND AV,63115,1,1,1110,N,3080,Single-family residence,1,4528 Ashland Avenue; 4541 Ashland Avenue,2
